Event Winner,Podiums,Top 10s,Hot Rounds,Birdies,Eagles Or Better,Bogeys,Double or Worse,Total Score
0,15,30,5,36,1,-12,-7,68
25,30,40,5,71,18,-14,-8,167
25,45,40,15,62,4,-10,-5,176
25,15,20,15,21,18,-7,-4,103
0,30,40,10,65,0,-6,0,139
0,15,30,0,46,2,-18,-4,71
0,0,20,5,38,0,-12,-5,46
0,30,50,5,52,1,-25,-13,100
25,45,40,15,51,34,-13,-6,191
0,0,0,0,0,0,0,0,0
25,15,40,0,56,1,-7,-1,129
25,15,40,20,67,5,-11,-5,156
25,45,50,10,54,19,-2,-2,199
0,0,0,0,0,0,0,0,0
25,15,30,10,45,22,-9,-3,135
0,30,20,5,21,1,-8,-2,67
0,15,40,10,54,0,-10,-8,101
0,0,30,0,31,0,-9,-4,48
25,30,30,15,61,18,-21,-12,146
25,30,40,15,65,17,-9,-7,176
25,45,50,15,86,0,-11,-6,204
25,45,40,15,51,21,-11,-4,182
0,0,40,15,83,0,-27,-10,101
25,15,40,15,69,0,-12,-10,142
25,30,30,20,82,9,-13,-3,180
25,45,40,20,68,0,-12,-4,182
25,30,20,15,45,24,-6,-5,148
0,15,10,0,27,0,-12,-4,36
25,60,50,40,76,5,-8,-5,243
